income,employment_length,debt_ratio,credit_score,loan_purpose,default_risk
27552,4,0.18,772,business,0
40249,26,0.13,631,home,0
48748,1,0.31,576,business,0
28255,10,0.24,724,car,0
36172,0,0.62,619,car,1
34940,12,0.78,532,car,1
53109,29,0.35,692,business,0
51040,4,0.56,634,car,0
39173,17,0.68,632,home,1
52652,13,0.42,701,personal,0
41799,12,0.15,707,business,0
45925,6,0.28,597,personal,0
75101,7,0.81,658,home,1
70106,17,0.76,540,education,1
30506,6,0.17,632,car,0
62445,19,0.28,588,home,0
62170,16,0.72,635,education,1
32776,15,0.49,621,business,0
62281,10,0.71,637,home,1
73068,18,0.27,533,business,0
33161,26,0.86,557,personal,1
36237,27,0.73,634,personal,1
65264,0,0.26,754,business,0
54072,20,0.55,701,personal,0
58272,28,0.19,680,personal,0
55108,7,0.39,608,car,0
55860,0,0.63,583,business,1
30102,29,0.36,693,business,0
65709,8,0.63,568,education,1
67543,18,0.3,764,car,0
46559,20,0.68,646,home,1
49347,8,0.39,791,car,0
27033,20,0.73,769,home,0
57713,24,0.21,679,business,0
58580,9,0.39,676,car,0
49067,23,0.47,604,education,0
66865,22,0.44,742,personal,0
44988,10,0.45,623,home,0
58469,0,0.46,531,personal,1
34705,19,0.89,730,business,1
49646,24,0.25,688,business,0
47384,25,0.71,613,business,1
53379,7,0.54,668,personal,0
44457,19,0.43,652,business,0
48027,11,0.61,753,business,0
62390,0,0.78,579,personal,1
43448,9,0.47,754,business,0
25901,3,0.79,743,home,0
76243,14,0.18,605,car,0
70721,18,0.62,679,home,0
30616,5,0.37,688,business,0
60345,26,0.41,850,business,0
42455,4,0.56,595,business,0
53952,4,0.48,515,business,1
54413,17,0.41,509,personal,1
46483,27,0.35,664,car,0
38243,2,0.59,721,personal,0
39641,26,0.5,587,personal,0
36257,21,0.36,636,business,0
37522,1,0.26,619,home,0
48992,3,0.72,569,home,1
39263,17,0.74,692,education,0
60230,8,0.27,527,car,0
72308,18,0.31,694,education,0
41299,25,0.29,619,personal,0
53591,9,0.81,718,education,0
57495,21,0.72,662,education,1
57080,14,0.16,541,education,0
51139,0,0.77,671,car,1
61140,28,0.13,623,home,0
57233,10,0.3,726,home,0
31435,13,0.84,700,education,1
63037,9,0.79,730,car,0
63309,18,0.73,625,home,1
38550,23,0.47,585,business,0
50569,20,0.36,648,home,0
60249,15,0.81,701,home,1
46860,7,0.63,582,car,1
66094,1,0.34,671,car,0
85458,22,0.47,676,home,0
38210,24,0.81,746,business,0
29284,6,0.82,577,business,1
54557,18,0.63,684,education,0
60823,6,0.69,615,education,1
46537,14,0.13,597,home,0
71798,7,0.58,785,home,0
29920,13,0.65,681,home,0
60393,0,0.12,757,business,0
40912,28,0.78,597,personal,1
75790,12,0.84,767,education,0
79887,2,0.29,621,education,0
38500,20,0.78,705,personal,0
41756,27,0.63,583,home,1
62893,5,0.56,574,education,1
44193,18,0.77,648,business,1
49318,14,0.33,758,personal,0
50380,3,0.73,738,business,0
21204,20,0.35,659,home,0
49792,2,0.73,627,education,1
39654,3,0.46,672,business,0
42603,4,0.19,576,personal,0
71654,17,0.41,659,home,0
31152,25,0.29,653,education,0
62198,24,0.18,653,education,0
45815,9,0.19,682,home,0
45803,7,0.72,705,home,0
61855,11,0.81,482,home,1
55100,21,0.84,591,business,1
58559,25,0.78,604,car,1
64522,26,0.76,638,education,1
45030,2,0.16,645,business,0
40816,26,0.73,694,personal,0
33722,17,0.73,672,education,1
37618,22,0.21,733,car,0
94236,7,0.63,628,personal,0
68670,25,0.46,602,education,0
29733,0,0.82,640,car,1
30163,13,0.66,652,home,0
57227,21,0.86,656,car,1
58208,22,0.18,632,education,0
58233,12,0.13,726,car,0
46175,24,0.88,718,education,1
48118,11,0.16,726,education,0
54918,2,0.41,580,car,0
51288,17,0.62,700,car,0
16710,20,0.8,762,personal,0
46553,12,0.3,728,personal,0
37228,14,0.12,614,business,0
52628,9,0.52,626,education,0
94778,0,0.48,540,personal,1
55512,28,0.35,740,business,0
45297,5,0.8,581,education,1
63827,8,0.7,616,business,1
57240,9,0.79,689,personal,1
56301,14,0.23,660,business,0
59102,8,0.65,675,car,0
80848,22,0.88,609,business,1
33036,13,0.59,561,home,1
57104,10,0.24,665,home,0
36104,6,0.9,588,business,1
58332,23,0.52,686,home,0
36219,25,0.77,587,business,1
43739,29,0.22,639,business,0
45573,1,0.63,770,business,0
64637,13,0.83,665,home,1
63776,5,0.53,594,education,0
31314,4,0.33,684,business,0
50824,4,0.2,640,business,0
39356,28,0.34,594,car,0
31122,18,0.38,651,car,0
46744,18,0.67,736,personal,0
45372,5,0.24,692,home,0
86400,27,0.18,637,education,0
56494,25,0.41,565,business,0
29335,28,0.47,701,business,0
41528,9,0.6,683,home,0
65320,22,0.67,536,personal,1
81326,13,0.81,546,personal,1
26210,16,0.33,760,car,0
21801,29,0.52,672,home,0
78064,2,0.39,552,personal,0
55844,27,0.1,729,personal,0
36975,0,0.56,735,education,0
58019,9,0.75,600,car,1
10463,2,0.13,585,car,0
50050,4,0.1,655,car,0
54917,24,0.68,661,personal,0
63864,18,0.65,638,business,0
34791,9,0.42,574,personal,0
51285,29,0.63,625,personal,0
36118,25,0.86,620,home,1
53830,24,0.3,545,car,0
36569,15,0.3,719,car,0
43878,0,0.25,575,education,0
35062,5,0.68,741,car,0
59767,8,0.38,660,personal,0
62876,27,0.89,605,home,1
46480,4,0.67,677,education,0
50573,26,0.39,640,personal,0
28271,13,0.22,742,personal,0
45504,9,0.57,798,education,0
49246,1,0.34,677,personal,0
89311,4,0.82,637,personal,1
33320,0,0.45,762,home,0
71962,24,0.33,635,home,0
64952,9,0.57,613,home,0
54209,28,0.21,736,car,0
76379,25,0.55,708,education,0
55581,24,0.14,614,home,0
55837,21,0.59,672,personal,0
49203,26,0.52,625,car,0
68353,8,0.52,692,education,0
66447,29,0.65,685,home,0
40614,2,0.14,560,home,0
30211,14,0.47,652,education,0
46955,3,0.46,546,home,0
37999,12,0.47,550,education,0
49047,5,0.88,615,education,1
68561,19,0.21,608,personal,0
43140,16,0.65,530,education,1
49357,22,0.42,566,business,0
50870,4,0.51,542,home,1
62726,29,0.71,598,personal,1
16296,14,0.23,686,car,0
40899,7,0.71,753,business,0
53169,24,0.16,724,education,0
68001,4,0.49,680,car,0
42621,23,0.69,676,car,0
21851,12,0.25,642,car,0
59295,0,0.72,643,car,1
40469,0,0.23,746,personal,0
32155,6,0.74,693,personal,0
40634,21,0.48,663,car,0
47232,4,0.65,527,business,1
40928,13,0.83,700,home,1
16916,14,0.43,701,home,0
63455,20,0.29,606,personal,0
69123,29,0.79,665,business,1
59772,24,0.23,640,business,0
32934,16,0.61,612,education,1
46977,23,0.84,678,personal,1
49902,17,0.64,574,business,1
58981,6,0.26,792,business,0
60025,21,0.22,687,home,0
38987,25,0.3,642,business,0
51229,17,0.41,717,business,0
56859,27,0.23,704,car,0
71837,28,0.74,597,home,1
60567,18,0.39,614,home,0
61835,19,0.85,489,car,1
51257,6,0.77,574,home,1
71156,7,0.83,696,education,1
56146,12,0.34,662,education,0
37083,26,0.56,615,personal,0
71050,17,0.36,674,home,0
60468,23,0.31,612,home,0
43354,10,0.59,548,education,1
42807,8,0.75,583,personal,1
54448,22,0.17,810,personal,0
56947,0,0.32,639,education,0
52959,21,0.26,643,education,0
54669,7,0.74,686,car,0
75499,20,0.85,718,personal,1
66073,11,0.16,634,personal,0
52859,1,0.4,727,car,0
64119,14,0.83,634,education,1
34512,20,0.38,649,car,0
55968,23,0.67,616,car,1
77139,17,0.18,703,business,0
46729,16,0.46,553,personal,0
37285,14,0.5,666,education,0
40218,19,0.71,691,business,0
33655,19,0.33,721,business,0
38228,8,0.31,688,business,0
44442,2,0.34,585,education,0
28916,19,0.54,690,car,0
50234,18,0.8,701,education,1
63534,17,0.76,695,personal,0
36383,19,0.15,633,personal,0
72789,29,0.8,639,car,1
57661,7,0.18,719,education,0
65458,0,0.43,650,car,0
40132,23,0.71,583,car,1
62817,23,0.17,621,education,0
33620,14,0.13,754,personal,0
63353,18,0.36,555,education,0
52577,29,0.68,741,personal,0
58298,25,0.52,651,home,0
32366,9,0.43,557,home,0
36573,11,0.75,705,home,0
58958,27,0.71,600,business,1
35774,5,0.73,656,personal,1
56948,28,0.47,521,personal,1
29492,12,0.12,744,education,0
62722,3,0.24,629,personal,0
31512,12,0.69,607,education,1
58284,16,0.7,663,business,0
59384,29,0.88,711,education,1
39548,0,0.25,636,home,0
58730,4,0.2,709,education,0
53906,27,0.21,648,education,0
41917,23,0.25,656,education,0
34871,16,0.52,593,personal,0
20560,17,0.88,723,car,1
55244,6,0.57,696,car,0
26527,15,0.52,688,car,0
51430,7,0.64,724,personal,0
46048,11,0.16,576,home,0
60187,13,0.75,654,car,1
45469,18,0.62,727,car,0
45058,10,0.24,647,business,0
60978,11,0.6,660,business,0
55025,12,0.58,658,home,0
54742,7,0.15,683,education,0
57039,0,0.31,515,education,1
26966,8,0.41,658,business,0
61351,27,0.3,677,business,0
59187,1,0.29,677,home,0
34749,13,0.56,762,home,0
46338,12,0.48,609,personal,0
49410,15,0.63,765,education,0
47982,1,0.87,624,personal,1
55007,3,0.63,555,car,1
71470,11,0.57,755,home,0
66226,15,0.78,723,education,0
30316,9,0.61,659,education,0
59331,2,0.23,609,personal,0
69933,3,0.35,635,business,0
55802,5,0.69,667,business,0
66364,22,0.69,747,home,0
80184,4,0.89,557,business,1
65355,17,0.6,635,car,0
53739,2,0.82,631,education,1
65676,9,0.14,616,business,0
52173,10,0.55,604,home,0
50358,18,0.84,762,car,0
44728,13,0.33,593,personal,0
73451,20,0.22,659,personal,0
37723,27,0.38,567,car,0
72985,10,0.73,710,home,0
57497,27,0.17,615,personal,0
29010,20,0.58,495,education,1
55514,3,0.21,718,education,0
18499,23,0.45,611,home,0
59382,21,0.87,741,home,1
63278,5,0.26,726,education,0
41114,16,0.13,642,home,0
51853,21,0.44,677,car,0
79312,18,0.56,656,home,0
42413,12,0.34,551,education,0
34116,21,0.53,749,business,0
72224,9,0.86,632,home,1
79438,28,0.35,651,personal,0
50055,10,0.35,652,car,0
65171,28,0.49,634,car,0
70122,5,0.51,694,car,0
38862,1,0.1,643,personal,0
42720,0,0.59,614,personal,1
68463,10,0.9,620,car,1
75275,15,0.33,766,car,0
58443,2,0.6,654,car,0
36802,4,0.1,763,home,0
79805,14,0.58,583,personal,1
42035,14,0.46,604,education,0
44972,3,0.52,616,home,0
55135,22,0.54,644,education,0
73312,3,0.24,599,home,0
62809,7,0.72,641,home,1
56222,6,0.54,664,education,0
56949,25,0.32,720,car,0
50652,24,0.85,555,education,1
58372,16,0.11,715,business,0
12056,14,0.68,701,personal,0
45550,4,0.4,581,business,0
53619,12,0.52,594,home,0
32734,3,0.33,675,education,0
55794,21,0.36,605,car,0
46932,16,0.11,745,car,0
76332,21,0.68,649,business,0
73595,16,0.67,565,business,1
43012,13,0.62,571,home,1
47737,13,0.8,545,personal,1
48890,16,0.82,642,home,1
43225,7,0.55,645,car,0
52925,1,0.65,685,education,1
38625,25,0.11,738,business,0
33040,12,0.78,650,car,1
59340,29,0.75,738,home,0
59442,21,0.12,598,personal,0
37935,15,0.53,546,education,1
63430,29,0.83,705,personal,1
40526,15,0.25,700,home,0
53797,5,0.38,667,home,0
62305,21,0.36,697,car,0
49495,23,0.38,488,education,1
56821,3,0.13,617,home,0
42253,2,0.32,728,car,0
47053,5,0.34,631,home,0
46912,3,0.79,695,car,1
38801,17,0.38,832,personal,0
47348,5,0.46,721,car,0
26770,25,0.4,624,personal,0
42632,4,0.2,526,business,0
45726,26,0.89,700,home,1
46157,8,0.76,508,business,1
46377,10,0.53,594,education,0
49073,5,0.48,598,business,0
57191,29,0.62,641,car,0
63117,15,0.36,669,car,0
40253,18,0.14,589,education,0
31951,10,0.42,723,education,0
34369,20,0.89,749,home,1
42691,14,0.25,633,car,0
44721,25,0.52,725,education,0
38450,23,0.11,601,business,0
30558,8,0.2,577,car,0
43158,23,0.57,725,education,0
52721,18,0.34,668,home,0
58925,24,0.82,677,personal,1
41638,18,0.42,778,car,0
43805,23,0.27,696,car,0
36099,25,0.54,818,car,0
49528,8,0.74,656,car,1
37273,22,0.12,755,personal,0
58596,3,0.5,646,personal,0
23212,9,0.72,569,home,1
44605,8,0.18,708,car,0
54516,18,0.82,647,education,1
52757,14,0.31,795,business,0
90395,18,0.24,689,car,0
55247,1,0.57,716,personal,0
34939,9,0.24,540,home,0
48568,18,0.64,700,car,0
23356,16,0.49,645,home,0
48791,19,0.19,595,education,0
37504,23,0.83,748,education,0
63730,20,0.64,559,education,1
41756,1,0.54,674,education,1
48248,18,0.4,607,business,0
40466,16,0.21,669,home,0
76082,17,0.67,630,car,1
45181,16,0.75,637,business,1
77488,1,0.2,654,car,0
62212,18,0.5,582,personal,0
57231,0,0.49,721,business,0
55530,10,0.38,696,business,0
55906,24,0.73,580,personal,1
21084,9,0.18,748,business,0
45816,4,0.26,703,home,0
62677,15,0.1,657,education,0
49266,23,0.4,550,car,0
28922,4,0.33,604,personal,0
49213,23,0.79,517,education,1
75561,22,0.7,662,business,0
68703,11,0.17,709,home,0
49069,3,0.69,599,business,1
64271,22,0.64,650,personal,0
44502,5,0.33,719,business,0
24441,18,0.11,606,home,0
36133,8,0.19,689,business,0
73443,11,0.3,797,business,0
45890,25,0.75,701,business,0
46349,14,0.47,577,business,0
45502,15,0.83,648,home,1
78562,12,0.73,700,car,0
74389,24,0.33,684,education,0
83281,29,0.78,574,personal,1
47614,20,0.19,680,car,0
54434,23,0.13,635,home,0
27250,6,0.59,618,personal,0
72154,24,0.37,688,personal,0
32483,22,0.36,773,business,0
53251,19,0.65,597,education,1
33540,3,0.78,681,education,1
41166,10,0.36,644,home,0
37441,7,0.36,692,car,0
40881,5,0.53,657,business,0
41913,24,0.62,609,education,1
41775,29,0.26,606,business,0
62500,9,0.83,682,car,1
33427,29,0.62,659,personal,0
53308,6,0.6,693,car,0
68269,6,0.82,538,personal,1
42302,3,0.83,726,car,0
39231,2,0.21,749,business,0
46542,23,0.22,660,car,0
67695,6,0.71,696,education,0
52911,3,0.87,718,education,1
42031,12,0.63,637,home,0
57258,19,0.43,666,education,0
33465,16,0.65,683,education,0
60220,26,0.28,613,personal,0
56129,6,0.9,659,business,1
45382,16,0.44,508,business,1
37421,25,0.85,606,personal,1
36699,25,0.44,752,education,0
58022,3,0.84,677,car,1
68434,10,0.37,594,personal,0
40440,29,0.71,563,business,1
56875,2,0.86,826,home,0
18694,10,0.62,600,business,1
41230,2,0.64,615,car,1
49534,11,0.18,691,business,0
36354,0,0.48,591,personal,1
35952,3,0.81,676,home,1
39983,13,0.29,651,business,0
54382,0,0.73,567,personal,1
47190,13,0.64,653,personal,0
16426,12,0.28,672,personal,0
18189,12,0.33,575,home,0
40897,23,0.44,686,personal,0
56865,14,0.2,698,home,0
10000,16,0.83,578,car,1
42504,11,0.69,683,car,0
42106,29,0.39,666,car,0
70825,21,0.34,625,personal,0
44224,22,0.65,631,home,1
55744,25,0.44,677,car,0
52118,13,0.28,608,education,0
18041,11,0.44,690,car,0
61523,17,0.8,593,personal,1
53230,3,0.15,598,education,0
57624,26,0.39,560,business,0
108893,13,0.87,529,education,1
18738,18,0.11,660,business,0
75870,28,0.81,513,education,1
45688,12,0.4,672,home,0
54309,24,0.25,644,education,0
49317,29,0.11,782,car,0
43636,22,0.16,692,business,0
41452,17,0.24,685,business,0
54942,10,0.12,602,car,0
27242,27,0.37,610,home,0
61258,5,0.14,620,education,0
43757,8,0.65,647,home,0
33048,11,0.76,609,car,1
43249,18,0.81,689,education,1
68857,13,0.54,622,car,0
41969,14,0.86,728,business,1
55376,10,0.1,592,business,0
39035,5,0.21,702,business,0
61368,13,0.33,785,personal,0
60282,2,0.73,773,personal,0
77729,18,0.81,589,business,1
47366,19,0.59,730,personal,0
60029,24,0.41,494,personal,1
51471,10,0.63,541,car,1
69438,28,0.24,692,education,0
39217,23,0.47,680,business,0
61175,16,0.51,692,personal,0
47079,28,0.18,615,car,0
49037,27,0.13,571,car,0
51376,26,0.7,523,education,1
53783,16,0.53,589,car,0
48256,22,0.37,695,home,0
53220,2,0.45,710,home,0
73671,13,0.87,670,business,1
64781,26,0.41,663,education,0
63037,6,0.18,768,home,0
43166,24,0.47,748,education,0
36661,18,0.62,716,business,0
64329,2,0.11,730,car,0
63140,1,0.37,674,car,0
72090,25,0.41,683,car,0
40940,16,0.47,595,home,0
46556,8,0.34,676,education,0
25407,21,0.63,604,home,1
44112,5,0.86,736,personal,1
64948,23,0.83,693,education,1
43002,26,0.63,620,business,1
59607,20,0.51,699,home,0
47142,8,0.76,728,car,0
54860,26,0.77,588,car,1
32784,4,0.76,632,car,1
51278,1,0.23,581,home,0
10000,21,0.12,647,home,0
47196,14,0.89,743,car,1
25542,8,0.87,650,car,1
68089,18,0.55,690,car,0
61661,9,0.89,611,personal,1
57000,3,0.72,709,home,0
72815,9,0.51,645,car,0
35766,26,0.41,703,business,0
76210,7,0.57,710,car,0
63982,21,0.51,576,home,0
46451,12,0.9,602,business,1
67034,6,0.49,621,home,0
33405,6,0.77,774,home,0
37632,3,0.75,745,home,0
40871,14,0.16,657,education,0
42065,11,0.17,841,business,0
34151,15,0.63,558,personal,1
68346,5,0.31,633,personal,0
46117,27,0.63,732,education,0
55287,8,0.22,653,home,0
41444,2,0.42,590,personal,0
22690,7,0.18,677,business,0
54050,6,0.33,837,car,0
21316,3,0.17,591,business,0
48970,25,0.88,598,home,1
29475,12,0.42,574,business,0
79809,18,0.82,620,home,1
63670,29,0.88,725,business,1
51586,6,0.83,759,education,0
68955,9,0.46,561,business,0
37305,24,0.72,692,personal,0
58152,11,0.22,704,car,0
52997,25,0.18,602,education,0
53960,2,0.8,701,business,1
69085,25,0.12,676,home,0
60987,24,0.88,726,education,1
54330,28,0.64,494,personal,1
25176,23,0.44,670,car,0
35599,11,0.21,706,car,0
48159,18,0.68,723,business,0
51400,14,0.55,706,personal,0
33046,7,0.67,565,personal,1
86175,11,0.43,749,car,0
72745,19,0.15,702,car,0
59031,5,0.35,651,personal,0
51080,27,0.35,652,car,0
46816,9,0.11,773,home,0
35721,1,0.11,699,car,0
51162,23,0.36,660,home,0
53866,12,0.68,590,car,1
31373,24,0.6,634,education,0
55012,6,0.29,590,education,0
47671,7,0.58,527,education,1
21382,22,0.62,665,home,0
37094,15,0.52,527,home,1
43795,10,0.52,605,business,0
78315,25,0.4,628,business,0
58348,3,0.2,547,car,0
29967,16,0.41,721,home,0
57290,15,0.38,642,education,0
26790,18,0.57,489,education,1
66240,22,0.79,708,education,0
42933,26,0.4,773,car,0
48595,10,0.67,662,home,0
69886,6,0.75,693,car,0
30692,26,0.27,672,personal,0
29043,12,0.82,689,personal,1
41246,18,0.16,612,business,0
65575,16,0.82,597,home,1
27209,25,0.23,576,education,0
10000,24,0.37,658,home,0
43232,27,0.58,695,business,0
58276,21,0.82,694,education,1
68003,12,0.3,620,car,0
43052,28,0.71,636,education,1
43828,11,0.67,636,personal,1
67308,6,0.23,614,car,0
21953,0,0.48,515,education,1
44172,0,0.49,636,car,1
52856,19,0.34,629,personal,0
56738,22,0.72,646,personal,1
42352,13,0.84,612,home,1
50516,26,0.67,670,personal,0
12675,14,0.88,839,personal,0
40126,10,0.14,704,personal,0
56802,23,0.13,616,business,0
35265,25,0.82,634,personal,1
50884,8,0.82,642,home,1
56703,16,0.19,658,car,0
44861,3,0.39,649,business,0
52556,19,0.77,618,car,1
35559,18,0.2,614,car,0
46900,6,0.31,695,home,0
59153,0,0.64,631,business,1
52354,8,0.89,690,education,1
41202,12,0.74,634,personal,1
53363,23,0.72,523,car,1
60719,1,0.37,576,car,1
19250,1,0.63,537,home,1
67386,23,0.19,664,home,0
44956,26,0.89,531,home,1
56382,29,0.48,615,business,0
67958,14,0.61,624,personal,0
29424,16,0.8,632,business,1
39358,12,0.1,711,home,0
45671,6,0.88,723,home,1
38243,8,0.39,597,car,0
76024,11,0.37,648,business,0
37148,2,0.22,620,business,0
41666,22,0.79,679,personal,1
53065,21,0.8,644,business,1
31967,14,0.12,681,personal,0
44064,6,0.14,570,education,0
54761,22,0.83,665,personal,1
45007,25,0.2,551,home,0
48599,0,0.6,595,education,1
42060,13,0.6,657,car,0
27282,18,0.8,513,car,1
54823,15,0.56,496,car,1
76323,9,0.45,569,home,0
50276,0,0.88,584,car,1
53378,4,0.28,591,personal,0
60390,2,0.31,613,home,0
30960,16,0.17,671,business,0
75537,17,0.88,787,home,0
53034,25,0.67,606,home,1
74477,20,0.11,676,business,0
39004,26,0.66,737,personal,0
77270,18,0.42,724,education,0
61627,21,0.87,595,business,1
58295,24,0.32,711,home,0
53510,21,0.67,740,car,0
46272,17,0.6,757,business,0
68007,15,0.11,759,business,0
52105,1,0.81,572,education,1
20493,14,0.21,666,home,0
33242,12,0.63,601,car,1
47212,12,0.72,558,car,1
54649,15,0.6,683,education,0
49151,7,0.18,664,car,0
68284,10,0.88,661,personal,1
20733,7,0.29,616,business,0
52153,21,0.6,821,business,0
22730,9,0.74,755,car,0
61395,22,0.85,620,car,1
48583,0,0.58,648,car,1
56294,11,0.31,684,business,0
37041,8,0.77,721,car,0
69191,4,0.23,683,personal,0
65625,8,0.12,658,personal,0
58753,15,0.83,550,business,1
48057,17,0.56,787,home,0
58697,29,0.16,605,home,0
39396,7,0.56,724,home,0
62833,22,0.22,652,personal,0
74742,10,0.13,737,education,0
66059,29,0.19,558,home,0
39055,19,0.72,605,education,1
55421,18,0.7,640,business,1
30602,3,0.58,585,personal,1
58585,19,0.27,612,home,0
56759,25,0.69,740,personal,0
21952,9,0.43,688,business,0
32573,23,0.51,751,personal,0
45752,12,0.82,654,car,1
45487,28,0.47,638,home,0
31857,19,0.6,558,personal,1
55834,13,0.87,723,personal,1
53772,20,0.46,638,personal,0
47085,1,0.55,663,business,1
38663,28,0.57,610,home,0
65730,3,0.29,849,home,0
74831,6,0.69,658,car,0
42746,18,0.68,599,car,1
40817,29,0.27,568,personal,0
57368,29,0.11,686,home,0
44629,16,0.9,597,home,1
47909,15,0.57,618,personal,0
61094,12,0.24,543,education,0
21359,23,0.33,654,home,0
69774,23,0.59,653,personal,0
51090,21,0.21,780,personal,0
43827,22,0.13,612,education,0
48661,25,0.74,496,car,1
49436,26,0.67,634,personal,1
24031,17,0.35,741,home,0
72424,20,0.15,692,car,0
50619,11,0.49,726,car,0
56645,22,0.32,681,car,0
64273,24,0.42,619,personal,0
34682,0,0.32,571,home,0
57102,14,0.24,581,education,0
45985,2,0.41,607,business,0
62701,5,0.87,694,business,1
18091,13,0.31,644,car,0
48513,22,0.37,524,business,0
40957,5,0.36,672,business,0
56483,0,0.48,735,personal,0
57050,19,0.77,539,education,1
39385,5,0.42,688,business,0
39317,7,0.74,502,education,1
48340,25,0.19,588,business,0
36550,14,0.82,560,car,1
62629,13,0.25,697,car,0
44461,15,0.13,766,education,0
10000,19,0.23,724,education,0
44377,22,0.25,721,education,0
34421,15,0.51,584,education,0
25530,26,0.46,690,home,0
31438,18,0.67,666,car,0
51641,23,0.14,567,business,0
69929,0,0.5,725,home,0
54697,3,0.37,680,education,0
40902,23,0.6,634,business,0
56838,9,0.13,707,car,0
43113,19,0.13,660,education,0
39580,17,0.44,734,personal,0
32684,1,0.75,782,education,1
23722,3,0.64,630,business,0
44151,14,0.11,629,car,0
52370,28,0.24,615,education,0
48550,3,0.28,651,car,0
43760,15,0.44,744,home,0
35813,14,0.57,575,personal,1
59123,17,0.27,554,home,0
30243,6,0.41,666,personal,0
61640,14,0.57,647,home,0
34966,21,0.41,663,car,0
38713,10,0.21,513,car,0
27998,18,0.49,757,home,0
42478,7,0.36,664,business,0
64629,23,0.79,821,home,0
57734,0,0.72,678,education,1
64676,2,0.25,621,business,0
57832,4,0.22,667,car,0
33444,17,0.38,753,home,0
45038,11,0.43,599,business,0
38297,11,0.85,690,education,1
69958,20,0.34,680,personal,0
32048,26,0.79,691,car,1
63405,25,0.5,586,business,0
63394,18,0.81,694,business,1
77444,8,0.66,689,business,0
43854,10,0.67,759,home,0
60684,16,0.52,774,car,0
84224,15,0.77,676,car,1
40735,3,0.3,666,home,0
26974,9,0.83,582,home,1
21799,21,0.61,636,home,0
60690,14,0.45,618,education,0
21752,24,0.89,718,business,1
44415,18,0.79,671,education,1
56559,2,0.72,581,car,1
52777,27,0.32,591,home,0
56381,20,0.88,828,business,0
53334,22,0.69,619,personal,1
69182,29,0.58,697,business,0
35715,4,0.84,651,personal,1
39845,10,0.23,632,business,0
38410,23,0.21,732,home,0
62452,4,0.55,618,personal,0
63505,6,0.15,628,personal,0
56768,5,0.63,746,car,0
67752,29,0.29,623,business,0
32329,25,0.2,551,education,0
75008,12,0.43,571,education,0
72848,1,0.47,686,car,0
61034,18,0.24,600,car,0
76726,10,0.13,729,car,0
25150,26,0.43,651,home,0
42133,19,0.71,703,home,0
38970,4,0.8,674,home,1
60822,8,0.18,724,home,0
34247,5,0.52,781,car,0
61362,16,0.31,689,car,0
70558,18,0.4,686,home,0
60428,22,0.85,727,home,1
54256,7,0.38,610,personal,0
35181,6,0.39,687,business,0
37297,4,0.27,585,personal,0
68744,14,0.87,596,business,1
61690,9,0.47,616,home,0
49414,23,0.56,738,home,0
43731,15,0.46,640,home,0
19612,8,0.3,595,personal,0
33937,6,0.75,703,car,0
78671,10,0.12,534,business,0
30793,8,0.65,519,personal,1
52842,16,0.58,632,home,0
65111,29,0.22,631,car,0
31176,8,0.23,723,personal,0
52770,2,0.63,734,business,0
64068,21,0.35,642,home,0
50187,7,0.31,635,business,0
93026,18,0.15,595,home,0
24971,19,0.71,642,home,1
65880,15,0.81,471,education,1
47407,6,0.76,618,business,1
61578,27,0.47,644,car,0
56619,6,0.53,595,home,0
39002,19,0.29,604,car,0
53434,24,0.24,629,personal,0
22131,12,0.76,649,home,1
59048,2,0.74,710,home,0
54472,11,0.72,679,home,0
59579,23,0.47,711,car,0
65871,7,0.79,690,education,1
55514,12,0.84,658,business,1
52221,19,0.36,806,home,0
36783,15,0.28,599,business,0
39316,6,0.47,586,business,0
67801,3,0.24,639,business,0
71545,28,0.81,645,car,1
46428,11,0.37,659,business,0
50690,16,0.56,583,personal,1
36430,0,0.58,787,car,0
67591,29,0.51,625,car,0
59981,16,0.23,582,personal,0
79118,1,0.89,668,education,1
36825,5,0.24,726,education,0
44329,11,0.7,762,home,0
53471,25,0.73,482,education,1
59697,10,0.22,703,home,0
46764,20,0.85,772,business,0
36905,10,0.49,608,home,0
63221,17,0.6,633,education,0
60817,7,0.61,583,home,1
36255,24,0.5,610,car,0
70331,6,0.21,575,education,0
67552,27,0.7,715,home,0
52014,13,0.57,642,education,0
51193,15,0.19,439,personal,0
58310,11,0.66,607,education,1
37074,8,0.66,601,personal,1
50450,19,0.54,709,home,0
17714,28,0.17,645,personal,0
63146,22,0.38,643,education,0
26577,20,0.14,695,car,0
72551,15,0.48,724,personal,0
45048,20,0.83,668,education,1
46824,18,0.1,604,car,0
40583,15,0.31,544,business,0
45679,8,0.74,751,personal,0
71277,12,0.11,850,personal,0
12682,25,0.11,658,home,0
69154,4,0.59,672,business,0
55070,21,0.73,755,home,0
31894,18,0.72,530,home,1
33870,9,0.72,716,education,0
75145,6,0.39,676,home,0
35817,8,0.81,596,personal,1
32699,24,0.11,613,home,0
67059,13,0.35,557,car,0
55078,14,0.37,728,personal,0
35931,12,0.23,577,education,0
53249,9,0.37,678,home,0
34613,13,0.57,536,car,1
66512,25,0.52,747,car,0
65920,20,0.36,635,personal,0
57980,22,0.7,725,home,0
55424,28,0.67,635,car,1
76417,11,0.32,607,home,0
49995,27,0.36,556,personal,0
32271,28,0.33,723,business,0
